CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'chebyshev', 'n_neighbors': 20, 'novelty': True}",0.8819444444444444,0.8819444444444444,0.8819444444444444,0.006910807556576199,0.0073016418351067435
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 1e-09, 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 100, 'random_state': 1}",0.7152777777777778,0.7152777777777778,0.7152777777777778,0.2544659111234877,0.06253706746631199
"Envelope Elíptico: {'assume_centered': False, 'contamination': 0.01, 'random_state': 1, 'support_fraction': 0.99}",0.5833333333333334,0.5833333333333334,0.5833333333333334,0.15096529987123278,0.002476440535651313
Dummy,0.5,0.5,0.5,0.00033354096942477755,8.333391613430447e-05
"One-Class SVM: {'gamma': 0.01, 'kernel': 'sigmoid', 'nu': 0.001}",0.47685185185185186,0.47685185185185186,0.47685185185185186,0.002333786752488878,0.0020326044824388293
