CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'minkowski', 'n_neighbors': 20, 'novelty': True}",0.5092592592592592,0.5092592592592592,0.5092592592592592,0.004610518614451091,0.004432075553470188
"One-Class SVM: {'gamma': 0.1, 'kernel': 'poly', 'nu': 0.001}",0.5069444444444444,0.5069444444444444,0.5069444444444444,0.0002772476938035753,0.00013739532894558378
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'jaccard', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.0009175539016723633,0.0008598036236233182
"One-Class SVM: {'gamma': 0.5, 'kernel': 'rbf', 'nu': 0.001}",0.5,0.5,0.5,0.0001956025759379069,0.00022522608439127603
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'hamming', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.0008617242177327474,0.0009999473889668782
"One-Class SVM: {'gamma': 1.0, 'kernel': 'rbf', 'nu': 0.001}",0.5,0.5,0.5,0.0004150403870476617,0.00013814369837443033
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'dice', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.0008881423208448621,0.0008888973130120172
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'cosine', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.0010554658042060004,0.0012230277061462402
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'correlation', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.0009159975581698947,0.0007503562503390842
"One-Class SVM: {'gamma': 10.0, 'kernel': 'rbf', 'nu': 0.001}",0.5,0.5,0.5,0.00036733680301242403,0.0001357396443684896
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'canberra', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.0038608312606811523,0.003973272111680772
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'braycurtis', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.00399980280134413,0.003694090578291151
"One-Class SVM: {'gamma': 5.0, 'kernel': 'rbf', 'nu': 0.001}",0.5,0.5,0.5,0.0002505580584208171,0.00019538402557373047
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'kulsinski', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.0008062455389234754,0.0006945265663994683
"One-Class SVM: {'gamma': 'auto', 'kernel': 'rbf', 'nu': 0.001}",0.5,0.5,0.5,0.00035698546303643123,0.0002275440427992079
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'yule', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.0006876322958204481,0.000500182310740153
"One-Class SVM: {'gamma': 0.001, 'kernel': 'rbf', 'nu': 0.001}",0.5,0.5,0.5,0.00036275386810302734,0.00019800000720553927
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'rogerstanimoto', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.0007425745328267416,0.0006731814808315701
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'rbf', 'nu': 0.001}",0.5,0.5,0.5,0.00027999613020155166,0.00022178888320922852
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'russellrao', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.0006137755182054308,0.0006970829433865017
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'sokalmichener', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.0006142324871487088,0.000636193487379286
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'sokalsneath', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.0008059408929612902,0.00044490893681844074
Dummy,0.5,0.5,0.5,0.00024978982077704533,8.398294448852539e-05
"One-Class SVM: {'gamma': 0.1, 'kernel': 'rbf', 'nu': 0.001}",0.49074074074074076,0.49074074074074076,0.49074074074074076,0.000328116946750217,8.340676625569661e-05
"One-Class SVM: {'gamma': 'scale', 'kernel': 'rbf', 'nu': 0.001}",0.49074074074074076,0.49074074074074076,0.49074074074074076,0.0005008379618326823,5.506144629584419e-05
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'sqeuclidean', 'n_neighbors': 20, 'novelty': True}",0.4884259259259259,0.4884259259259259,0.4884259259259259,0.0005585220124986437,0.0007534888055589464
"One-Class SVM: {'gamma': 0.01, 'kernel': 'rbf', 'nu': 0.001}",0.4861111111111111,0.4861111111111111,0.4861111111111111,0.00042191478941175673,5.720721350775825e-05
"One-Class SVM: {'gamma': 0.001, 'kernel': 'sigmoid', 'nu': 0.001}",0.45601851851851855,0.45601851851851855,0.45601851851851855,0.0003941522704230414,0.00019162893295288086
"One-Class SVM: {'gamma': 0.001, 'kernel': 'poly', 'nu': 0.001}",0.4305555555555556,0.4305555555555556,0.4305555555555556,0.0004712608125474718,0.00013930930031670464
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'sigmoid', 'nu': 0.001}",0.4305555555555556,0.4305555555555556,0.4305555555555556,0.00046956539154052734,2.9431449042426215e-05
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'poly', 'nu': 0.001}",0.4305555555555556,0.4305555555555556,0.4305555555555556,0.0002814862463209364,0.00025142563713921443
